#format table ## [Custom WaveView] saved 00:59:01 Sat Jan 13 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 3.880E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.483E-04 
 3.930E-03 , 9.159E-05 , 9.159E-05 , 9.159E-05 , 9.159E-05 , 1.302E+00 , 9.158E-05 
 3.980E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 4.030E-03 , 9.161E-05 , 9.161E-05 , 9.161E-05 , 9.161E-05 , 9.161E-05 , 1.302E+00 
 4.080E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 4.130E-03 , 9.163E-05 , 9.163E-05 , 9.163E-05 , 9.163E-05 , 9.163E-05 , 1.302E+00 
 4.180E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.480E-04 
 4.230E-03 , 9.165E-05 , 9.165E-05 , 9.165E-05 , 9.165E-05 , 9.165E-05 , 1.302E+00 
 4.280E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 4.330E-03 , 9.166E-05 , 9.166E-05 , 9.166E-05 , 9.166E-05 , 9.166E-05 , 1.302E+00 
 4.380E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.479E-04 
 4.430E-03 , 9.168E-05 , 9.168E-05 , 9.168E-05 , 9.168E-05 , 9.168E-05 , 1.302E+00 
 4.480E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 4.530E-03 , 9.171E-05 , 9.171E-05 , 9.171E-05 , 9.171E-05 , 9.171E-05 , 1.302E+00 
 4.580E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 4.630E-03 , 9.173E-05 , 9.173E-05 , 9.173E-05 , 9.173E-05 , 9.173E-05 , 1.302E+00 
 4.680E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.475E-04 
 4.730E-03 , 9.175E-05 , 9.175E-05 , 9.175E-05 , 9.175E-05 , 9.175E-05 , 1.302E+00 
 4.780E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 4.830E-03 , 9.178E-05 , 9.178E-05 , 9.178E-05 , 9.178E-05 , 9.178E-05 , 1.302E+00 
 4.880E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.474E-04 
 4.930E-03 , 9.180E-05 , 9.180E-05 , 9.180E-05 , 9.180E-05 , 9.180E-05 , 1.302E+00 
 4.980E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 5.030E-03 , 9.183E-05 , 9.183E-05 , 9.183E-05 , 9.183E-05 , 9.183E-05 , 1.302E+00 
 5.080E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 5.130E-03 , 9.186E-05 , 9.186E-05 , 9.186E-05 , 9.186E-05 , 9.186E-05 , 1.302E+00 
 5.180E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.470E-04 
 5.230E-03 , 9.187E-05 , 9.187E-05 , 9.187E-05 , 9.187E-05 , 9.187E-05 , 1.302E+00 
 5.280E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 5.330E-03 , 9.189E-05 , 9.189E-05 , 9.189E-05 , 9.189E-05 , 9.189E-05 , 1.302E+00 
 5.380E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.469E-04 
 5.430E-03 , 9.191E-05 , 9.191E-05 , 9.191E-05 , 9.191E-05 , 9.191E-05 , 1.302E+00 
 5.480E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 5.530E-03 , 9.194E-05 , 9.194E-05 , 9.194E-05 , 9.194E-05 , 9.194E-05 , 1.302E+00 
 5.580E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 5.630E-03 , 9.197E-05 , 9.197E-05 , 9.197E-05 , 9.197E-05 , 9.197E-05 , 1.302E+00 
 5.680E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.465E-04 
 5.730E-03 , 9.198E-05 , 9.198E-05 , 9.198E-05 , 9.198E-05 , 9.199E-05 , 1.302E+00 
 5.780E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 5.830E-03 , 9.201E-05 , 9.201E-05 , 9.201E-05 , 9.201E-05 , 9.201E-05 , 1.302E+00 
 5.880E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.464E-04 
 5.930E-03 , 9.203E-05 , 9.203E-05 , 9.203E-05 , 9.203E-05 , 1.302E+00 , 9.203E-05 
 5.980E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
