#format table ## [Custom WaveView] saved 14:30:34 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 4.180E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.647E-05 
 4.230E-03 , 1.310E-03 , 1.310E-03 , 1.310E-03 , 1.310E-03 , 1.310E-03 , 1.289E+00 
 4.280E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 4.330E-03 , 1.310E-03 , 1.310E-03 , 1.310E-03 , 1.310E-03 , 1.310E-03 , 1.289E+00 
 4.380E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.649E-05 
 4.430E-03 , 1.310E-03 , 1.310E-03 , 1.310E-03 , 1.310E-03 , 1.310E-03 , 1.289E+00 
 4.480E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 4.530E-03 , 1.310E-03 , 1.310E-03 , 1.310E-03 , 1.310E-03 , 1.310E-03 , 1.289E+00 
 4.580E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 4.630E-03 , 1.311E-03 , 1.311E-03 , 1.311E-03 , 1.311E-03 , 1.311E-03 , 1.289E+00 
 4.680E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.645E-05 
 4.730E-03 , 1.311E-03 , 1.311E-03 , 1.311E-03 , 1.311E-03 , 1.311E-03 , 1.289E+00 
 4.780E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 4.830E-03 , 1.311E-03 , 1.311E-03 , 1.311E-03 , 1.311E-03 , 1.311E-03 , 1.289E+00 
 4.880E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.646E-05 
 4.930E-03 , 1.312E-03 , 1.312E-03 , 1.312E-03 , 1.312E-03 , 1.312E-03 , 1.289E+00 
 4.980E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 5.030E-03 , 1.312E-03 , 1.312E-03 , 1.312E-03 , 1.312E-03 , 1.312E-03 , 1.289E+00 
 5.080E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 5.130E-03 , 1.312E-03 , 1.312E-03 , 1.312E-03 , 1.312E-03 , 1.312E-03 , 1.289E+00 
 5.180E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.642E-05 
 5.230E-03 , 1.313E-03 , 1.313E-03 , 1.313E-03 , 1.313E-03 , 1.313E-03 , 1.289E+00 
 5.280E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 5.330E-03 , 1.313E-03 , 1.313E-03 , 1.313E-03 , 1.313E-03 , 1.313E-03 , 1.289E+00 
 5.380E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.644E-05 
 5.430E-03 , 1.313E-03 , 1.313E-03 , 1.313E-03 , 1.313E-03 , 1.313E-03 , 1.289E+00 
 5.480E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 5.530E-03 , 1.313E-03 , 1.313E-03 , 1.313E-03 , 1.313E-03 , 1.313E-03 , 1.289E+00 
 5.580E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 5.630E-03 , 1.314E-03 , 1.314E-03 , 1.314E-03 , 1.314E-03 , 1.314E-03 , 1.289E+00 
 5.680E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.640E-05 
 5.730E-03 , 1.314E-03 , 1.314E-03 , 1.314E-03 , 1.314E-03 , 1.314E-03 , 1.289E+00 
 5.780E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 5.830E-03 , 1.314E-03 , 1.314E-03 , 1.314E-03 , 1.314E-03 , 1.314E-03 , 1.289E+00 
 5.880E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.643E-05 
 5.930E-03 , 1.315E-03 , 1.315E-03 , 1.315E-03 , 1.315E-03 , 1.289E+00 , 1.315E-03 
 5.980E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 6.030E-03 , 1.315E-03 , 1.315E-03 , 1.315E-03 , 1.315E-03 , 1.315E-03 , 1.289E+00 
 6.080E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 6.130E-03 , 1.315E-03 , 1.315E-03 , 1.315E-03 , 1.315E-03 , 1.315E-03 , 1.289E+00 
 6.180E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.639E-05 
 6.230E-03 , 1.315E-03 , 1.315E-03 , 1.315E-03 , 1.315E-03 , 1.315E-03 , 1.289E+00 
 6.280E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 6.330E-03 , 1.316E-03 , 1.316E-03 , 1.316E-03 , 1.316E-03 , 1.316E-03 , 1.289E+00 
